iter	Passed	Remaining
774	6730	1954
775	6749	1948
776	6757	1939
777	6769	1931
778	6778	1922
779	6784	1913
780	6791	1904
781	6800	1895
782	6808	1887
783	6814	1877
784	6823	1868
785	6828	1859
786	6835	1849
787	6841	1840
788	6846	1831
789	6855	1822
790	6860	1812
791	6869	1804
792	6874	1794
793	6883	1785
794	6887	1776
795	6898	1768
796	6903	1758
797	6914	1750
798	6919	1740
799	6930	1732
800	6934	1722
801	6947	1715
802	6952	1705
803	7007	1708
804	7026	1702
805	7043	1695
806	7049	1685
807	7058	1677
808	7066	1668
809	7079	1660
810	7088	1651
811	7094	1642
812	7100	1633
813	7108	1624
814	7112	1614
815	7122	1605
816	7126	1596
817	7136	1587
818	7141	1578
819	7150	1569
820	7155	1560
821	7161	1550
822	7169	1541
823	7174	1532
824	7203	1527
825	7221	1521
826	7238	1514
827	7252	1506
828	7263	1498
829	7271	1489
830	7303	1485
831	7321	1478
832	7341	1471
833	7359	1464
834	7377	1457
835	7395	1450
836	7407	1442
837	7419	1434
838	7428	1425
839	7434	1416
840	7443	1407
841	7449	1397
842	7460	1389
843	7465	1379
844	7475	1371
845	7486	1362
846	7494	1353
847	7501	1344
848	7510	1335
849	7516	1326
850	7525	1317
851	7529	1307
852	7538	1299
853	7543	1289
854	7552	1280
855	7557	1271
856	7566	1262
857	7572	1253
858	7581	1244
859	7586	1235
860	7590	1225
861	7599	1216
862	7603	1207
863	7613	1198
864	7618	1189
865	7628	1180
866	7633	1171
867	7643	1162
868	7648	1153
869	7655	1143
870	7663	1135
871	7669	1125
872	7696	1119
873	7713	1112
874	7732	1104
875	7750	1097
876	7762	1088
877	7770	1079
878	7777	1070
879	7786	1061
880	7795	1052
881	7802	1043
882	7813	1035
883	7819	1026
884	7835	1018
885	7844	1009
886	7851	1000
887	7861	991
888	7869	982
889	7877	973
890	7887	964
891	7894	955
892	7906	947
893	7910	937
894	7919	929
895	7925	919
896	7935	911
897	7940	901
898	7948	893
899	7981	886
900	8005	879
901	8024	871
902	8035	863
903	8045	854
904	8051	845
905	8061	836
906	8065	827
907	8072	817
908	8078	808
909	8083	799
910	8092	790
911	8096	781
912	8106	772
913	8111	763
914	8119	754
915	8125	745
916	8130	735
917	8138	726
918	8142	717
919	8154	709
920	8158	699
921	8168	691
922	8173	681
923	8181	672
924	8187	663
925	8192	654
926	8200	645
927	8204	636
928	8215	627
929	8219	618
930	8228	609
931	8233	600
932	8239	591
933	8246	582
934	8251	573
935	8260	564
936	8264	555
937	8271	546
938	8277	537
939	8281	528
940	8294	520
941	8298	510
942	8307	502
943	8311	493
944	8321	484
945	8326	475
946	8337	466
947	8342	457
948	8353	448
949	8358	439
950	8369	431
951	8377	422
952	8385	413
953	8391	404
954	8399	395
955	8403	386
956	8413	378
957	8417	369
958	8427	360
959	8432	351
960	8441	342
961	8447	333
962	8452	324
963	8459	315
964	8464	307
965	8474	298
966	8478	289
967	8486	280
968	8492	271
969	8496	262
970	8504	254
971	8509	245
972	8519	236
973	8523	227
974	8531	218
975	8537	209
976	8544	201
977	8551	192
978	8555	183
979	8566	174
980	8571	166
981	8582	157
982	8587	148
983	8615	140
984	8620	131
985	8639	122
986	8646	113
987	8651	105
988	8660	96
989	8665	87
990	8675	78
991	8680	70
992	8691	61
993	8696	52
994	8705	43
995	8710	34
996	8719	26
997	8725	17
998	8734	8
999	8740	0
